Customer ID,Gender,Region,Town size,Age Groups,Education Level,Home ownership,Job category,Employment length,Retired,Annual Household income,Debt to income ratio,Marital status,Household size,Telecom provider tenure (in months),Telecom provider tenure (in years),Customer Tenure,Customer Activity,Voice service usage,Equipment monthly usage,Monthly data usage,Streaming hours,Plans,Number of Plans,Subscriptions,Number of subscriptions,Devices,Number of devices,Services,Number of services
8648-OEELYD-BUO,Male,Southwest,Large,18 to 24,Post Secondary,Yes,Labor,2,No,26000,10.4,Unmarried,4,15,1.25,Emerging,Moderate,19.8,31.65,0,19,"International plan, Family plan, Home internet plan",3,Equipment,1,"Home computer, Smart device, Gaming console",3,No devices,0
6365-JARJTJ-XO1,Male,Southeast,Small,65 to 74,Completed High School,No,Sales,4,Yes,12000,11.2,Married,2,6,0.5,Newcomer,Moderate,14.85,0,0,22,No plans,0,"Video streaming, Mobile security",2,No devices,0,"Virtual assistant service, Cloud backup",2
8162-PHLLNH-12V,Female,West Coast,Small,65 to 74,Post Secondary,Yes,Labor,31,No,411000,8.3,Married,2,66,5.5,Veteran,Moderate,120.3,42.9,0,11,"International plan, Family plan, Home internet plan",3,"Equipment, Financial News streaming",2,"Home computer, Gaming console, Smart home device",3,Cloud backup,1
9655-AVBLHY-HSG,Male,Southeast,Small,65 to 74,Completed High School,Yes,Labor,17,No,80000,36.7,Married,5,72,6,Veteran,Moderate,172.65,0,0,17,"International plan, Family plan",2,Financial News streaming,1,Gaming console,1,No devices,0
6764-PDBVGZ-RPT,Female,Midwest,Extra Large,55 to 64,Some High School,Yes,Professional,19,No,136000,3.3,Married,2,72,6,Veteran,Moderate,117.45,0,0,21,"International plan, Family plan",2,"Financial News streaming, Mobile security",2,Smart home device,1,Virtual assistant service,1
3862-IIHSHN-2R8,Male,Southeast,Small,65 to 74,Post Secondary,Yes,Professional,19,No,91000,8.4,Married,2,54,4.5,Loyal,Moderate,33.15,0,42.65,19,"International plan, Wireless data plan, Family plan, Home internet plan",4,"Video streaming, Smart home monitoring, Financial News streaming, Mobile security",4,"Home computer, Smart device, Gaming console, Smart home device",4,"Cloud storage, IoT device support, Virtual assistant service, Cloud backup",4
9171-CRNWBE-F9A,Male,Midwest,Small,45 to 54,Post Secondary,No,Professional,4,No,81000,10.4,Married,2,54,4.5,Loyal,Moderate,45,0,0,17,"Family plan, Home internet plan",2,"Video streaming, Smart home monitoring, Financial News streaming, Mobile security",4,"Home computer, Smart device, Smart home device",3,"Virtual assistant service, Cloud backup",2
6437-XQJPHO-LCJ,Female,Southwest,Extra Large,18 to 24,Post Secondary,No,Service,0,No,21000,10.4,Married,3,9,0.75,Newcomer,Low,15,0,0,16,No plans,0,No subscriptions,0,"Home computer, Smart device, Gaming console",3,"Cloud storage, Cloud backup",2
8750-FGAPJF-NZS,Female,Southeast,Extra Large,65 to 74,Post Secondary,No,Professional,19,No,75000,8.6,Unmarried,1,58,4.833333333,Loyal,Moderate,42.6,0,0,22,"International plan, Family plan, Home internet plan",3,Financial News streaming,1,"Home computer, Gaming console",2,No devices,0
9425-WLRKCC-R71,Female,Midwest,Large,65 to 74,Post Secondary,Yes,Professional,4,No,73000,10.9,Unmarried,3,52,4.333333333,Loyal,Moderate,39,54.6,64.95,21,"International plan, Wireless data plan, Family plan, Home internet plan",4,"Equipment, Video streaming, Smart home monitoring, Financial News streaming, Mobile security",5,"Home computer, Smart device, Gaming console, Smart home device",4,"Cloud storage, IoT device support, Virtual assistant service, Cloud backup",4
3698-WEUKZD-C2Z,Female,Southwest,Medium,Over 75,Some High School,No,Service,0,Yes,17000,13.7,Unmarried,1,65,5.416666667,Veteran,Moderate,40.95,0,0,12,International plan,1,"Video streaming, Financial News streaming, Mobile security",3,No devices,0,No devices,0
5714-IHLOXZ-QKC,Female,Midwest,Extra Large,45 to 54,Completed High School,Yes,Sales,6,No,41000,26.2,Unmarried,3,1,0.083333333,Newcomer,Moderate,5.55,0,32.8,30,"International plan, Wireless data plan, Home internet plan",3,"Video streaming, Mobile security",2,"Home computer, Smart device, Smart home device",3,"Cloud storage, IoT device support, Virtual assistant service, Cloud backup",4
3043-YYQGJM-7LD,Male,West Coast,Mega-City,55 to 64,Post Secondary,No,Sales,3,No,22000,9.4,Unmarried,1,13,1.083333333,Newcomer,Moderate,13.65,22.6,0,23,"Family plan, Home internet plan",2,Equipment,1,"Home computer, Smart device, Gaming console",3,No devices,0
2930-WLVSCZ-OKG,Female,Southeast,Small,35 to 44,Post Secondary,No,Sales,5,No,22000,6.6,Unmarried,1,30,2.5,Established,Moderate,18.6,34.9,0,19,"International plan, Family plan, Home internet plan",3,"Equipment, Video streaming, Financial News streaming",3,"Home computer, Smart device, Gaming console",3,"Cloud storage, IoT device support, Virtual assistant service, Cloud backup",4
9932-HDHLNA-IRD,Male,Southwest,Medium,25 to 34,Post Secondary,Yes,Crafts,8,No,28000,16.6,Unmarried,2,58,4.833333333,Loyal,Moderate,30.45,28.3,0,20,International plan,1,"Equipment, Mobile security",2,Home computer,1,Virtual assistant service,1
4668-KQZZGF-GQA,Female,Northeast,Mega-City,25 to 34,Post Secondary,No,Labor,6,No,27000,17.6,Married,5,25,2.083333333,Established,Moderate,33.6,0,0,28,"International plan, Home internet plan",2,"Video streaming, Mobile security",2,Home computer,1,"Virtual assistant service, Cloud backup",2
2800-EJKINA-40U,Male,Southeast,Small,18 to 24,Some High School,No,Professional,1,No,18000,7.5,Unmarried,1,13,1.083333333,Newcomer,Moderate,20.85,28.1,0,26,Home internet plan,1,Equipment,1,"Home computer, Smart device, Gaming console",3,No devices,0
5036-DRSPSS-P3X,Male,Southwest,Mega-City,25 to 34,Post Secondary,No,Crafts,5,No,40000,17.2,Unmarried,3,58,4.833333333,Loyal,High,118.5,0,0,34,"International plan, Family plan, Home internet plan",3,"Video streaming, Financial News streaming",2,"Home computer, Smart device",2,No devices,0
1762-DLJZNE-ABZ,Female,Southwest,Mega-City,55 to 64,Post Secondary,Yes,Crafts,19,No,102000,7.4,Unmarried,1,52,4.333333333,Loyal,Moderate,24.15,33.05,0,19,"Family plan, Home internet plan",2,"Equipment, Financial News streaming, Mobile security",3,"Home computer, Smart device",2,No devices,0
1726-EJQGMP-OLF,Female,West Coast,Extra Large,35 to 44,Completed High School,Yes,Crafts,13,No,53000,12,Unmarried,3,6,0.5,Newcomer,Moderate,9.6,0,0,24,International plan,1,"Video streaming, Mobile security",2,No devices,0,"Virtual assistant service, Cloud backup",2
2420-OCBBAB-TEF,Male,West Coast,Extra Large,25 to 34,Post Secondary,Yes,Sales,0,No,25000,4.7,Married,4,65,5.416666667,Veteran,Moderate,69.75,0,0,23,International plan,1,No subscriptions,0,No devices,0,Cloud backup,1
9366-UTJUFF-HMM,Male,Northeast,Medium,25 to 34,No High School,Yes,Professional,4,No,23000,7.5,Unmarried,1,17,1.416666667,Emerging,Low,11.1,0,0,19,No plans,0,"Video streaming, Mobile security",2,Gaming console,1,Virtual assistant service,1
5068-FZSTJJ-8HB,Male,West Coast,Mega-City,35 to 44,Post Secondary,No,Professional,4,No,33000,9.4,Unmarried,1,1,0.083333333,Newcomer,Low,9.15,23.75,0,16,Home internet plan,1,"Equipment, Video streaming",2,"Home computer, Smart device",2,"IoT device support, Virtual assistant service, Cloud backup",3
5862-OQXZQL-M8E,Male,Midwest,Mega-City,25 to 34,Post Secondary,No,Service,3,No,68000,3.9,Unmarried,1,22,1.833333333,Emerging,Moderate,24,0,0,25,"International plan, Home internet plan",2,"Video streaming, Mobile security",2,Home computer,1,"Virtual assistant service, Cloud backup",2
7205-JSLZZU-M95,Female,Midwest,Small,25 to 34,Post Secondary,Yes,Sales,1,No,66000,12.2,Unmarried,3,41,3.416666667,Established,Moderate,31.8,0,0,21,"International plan, Home internet plan",2,No subscriptions,0,"Home computer, Smart device",2,No devices,0
0556-MOOWPK-HFE,Female,Northeast,Small,55 to 64,Post Secondary,Yes,Labor,16,No,49000,14.8,Unmarried,1,71,5.916666667,Veteran,High,88.95,73.9,96.3,11,"International plan, Wireless data plan, Family plan, Home internet plan",4,"Equipment, Video streaming, Smart home monitoring, Financial News streaming, Mobile security",5,"Home computer, Smart device, Gaming console, Smart home device",4,"Cloud storage, IoT device support, Virtual assistant service, Cloud backup",4
5125-PEQACJ-RQX,Female,Southeast,Medium,65 to 74,Some High School,No,Professional,7,No,34000,9.1,Unmarried,1,58,4.833333333,Loyal,Moderate,60.15,24.5,0,26,"International plan, Home internet plan",2,"Equipment, Video streaming, Financial News streaming",3,"Home computer, Gaming console",2,No devices,0
9054-RDSBCN-85W,Male,Southwest,Extra Large,45 to 54,Post Secondary,Yes,Professional,9,No,111000,7.4,Unmarried,1,40,3.333333333,Established,Low,31.65,0,0,14,No plans,0,Video streaming,1,"Home computer, Gaming console",2,Cloud backup,1
3957-ABEZXA-PIV,Male,Southeast,Small,55 to 64,Post Secondary,No,Sales,7,No,56000,21.3,Unmarried,4,62,5.166666667,Veteran,Moderate,69.9,0,0,11,"International plan, Family plan",2,Mobile security,1,"Home computer, Smart device",2,Virtual assistant service,1
4700-RLHJPE-MUB,Female,Midwest,Extra Large,65 to 74,No High School,No,Sales,7,No,19000,7.8,Unmarried,1,63,5.25,Veteran,Moderate,36.75,0,0,24,International plan,1,No subscriptions,0,No devices,0,No devices,0
5784-DIWCFC-282,Male,Southwest,Mega-City,55 to 64,Post Secondary,Yes,Labor,32,No,180000,14,Married,3,71,5.916666667,Veteran,Moderate,94.65,0,0,16,"International plan, Family plan",2,"Video streaming, Financial News streaming, Mobile security",3,No devices,0,"Virtual assistant service, Cloud backup",2
4076-DWMNBJ-KAL,Male,Northeast,Large,55 to 64,Completed High School,Yes,Service,16,No,64000,7,Married,4,70,5.833333333,Veteran,Moderate,106.5,38.05,0,29,"International plan, Family plan",2,"Equipment, Financial News streaming",2,"Home computer, Smart device",2,"IoT device support, Virtual assistant service, Cloud backup",3
0845-ZNPTKF-CKD,Male,Southeast,Large,25 to 34,Post Secondary,No,Sales,1,No,20000,11.9,Unmarried,1,2,0.166666667,Newcomer,Moderate,7.35,0,0,19,International plan,1,"Video streaming, Mobile security",2,Gaming console,1,"Virtual assistant service, Cloud backup",2
4527-WNECPJ-7QI,Male,Northeast,Extra Large,55 to 64,Some High School,No,Labor,30,Yes,29000,12.8,Unmarried,1,66,5.5,Veteran,Moderate,89.4,0,0,20,International plan,1,Financial News streaming,1,No devices,0,Cloud backup,1
9175-XFUAVM-BTO,Female,Northeast,Small,65 to 74,Post Secondary,Yes,Sales,3,No,27000,8.2,Married,3,63,5.25,Veteran,Moderate,42.45,0,0,17,"International plan, Family plan, Home internet plan",3,"Video streaming, Mobile security",2,"Home computer, Smart device, Gaming console",3,"Cloud storage, IoT device support, Cloud backup",3
4832-HIYXCW-RHO,Female,West Coast,Mega-City,35 to 44,Post Secondary,No,Sales,4,No,31000,8.1,Married,3,5,0.416666667,Newcomer,Moderate,16.65,29.25,23.65,14,"Wireless data plan, Home internet plan",2,"Equipment, Mobile security",2,"Home computer, Smart device",2,No devices,0
1744-YOZOGS-856,Male,Southeast,Extra Large,35 to 44,Post Secondary,Yes,Sales,1,No,32000,7.1,Unmarried,1,38,3.166666667,Established,Moderate,14.25,45.65,24.1,25,"Wireless data plan, Family plan, Home internet plan",3,"Equipment, Financial News streaming",2,"Home computer, Smart device, Gaming console",3,"Cloud storage, IoT device support",2
7754-EMTCYS-M1X,Female,Northeast,Small,Over 75,Post Secondary,No,Professional,10,No,68000,13.8,Unmarried,1,21,1.75,Emerging,Moderate,33.15,34.75,30.05,15,"Wireless data plan, Family plan, Home internet plan",3,"Equipment, Smart home monitoring",2,"Home computer, Smart device, Gaming console, Smart home device",4,"Cloud storage, IoT device support",2
5093-KUSRCS-X2U,Male,Midwest,Small,45 to 54,Completed High School,Yes,Sales,5,No,20000,15.8,Unmarried,1,48,4,Loyal,Moderate,27.9,0,0,21,"International plan, Family plan",2,"Video streaming, Financial News streaming",2,Home computer,1,No devices,0
8696-AARXBQ-SBQ,Female,West Coast,Extra Large,35 to 44,Completed High School,No,Sales,5,No,29000,8.4,Unmarried,2,29,2.416666667,Established,Moderate,15.45,0,25.7,12,"International plan, Wireless data plan, Family plan",3,"Video streaming, Mobile security",2,"Home computer, Smart device, Smart home device",3,"Cloud storage, IoT device support, Virtual assistant service, Cloud backup",4
5599-QKGOXE-H91,Male,Northeast,Extra Large,18 to 24,Post Secondary,No,Sales,0,No,17000,4.8,Unmarried,2,12,1,Newcomer,Moderate,14.25,0,0,25,No plans,0,No subscriptions,0,Gaming console,1,Virtual assistant service,1
1101-PBBFSP-62M,Male,Midwest,Mega-City,55 to 64,Post Secondary,Yes,Sales,12,No,29000,7.8,Married,3,65,5.416666667,Veteran,High,55.35,45,51.1,21,"International plan, Wireless data plan, Family plan, Home internet plan",4,"Equipment, Video streaming, Financial News streaming, Mobile security",4,"Home computer, Smart device, Gaming console",3,"Cloud storage, IoT device support",2
7908-BDWIWI-QTI,Female,West Coast,Medium,65 to 74,Some High School,No,Professional,6,Yes,13000,14.7,Married,2,61,5.083333333,Veteran,Moderate,47.85,0,0,20,International plan,1,Financial News streaming,1,No devices,0,Virtual assistant service,1
8388-XXPVWM-V0N,Female,West Coast,Medium,65 to 74,Post Secondary,Yes,Service,19,Yes,21000,7.5,Unmarried,1,41,3.416666667,Established,Moderate,17.4,0,34.3,23,"Wireless data plan, Family plan, Home internet plan",3,"Video streaming, Smart home monitoring",2,"Home computer, Smart device, Gaming console, Smart home device",4,"Cloud storage, IoT device support, Virtual assistant service, Cloud backup",4
8092-VBWJVP-D4B,Female,Southwest,Small,18 to 24,Some High School,Yes,Sales,0,No,24000,6.1,Married,5,11,0.916666667,Newcomer,Moderate,23.4,21.1,0,14,"Family plan, Home internet plan",2,Equipment,1,"Home computer, Smart device, Gaming console",3,No devices,0
1392-BQUNUJ-M9C,Male,Midwest,Medium,35 to 44,Post Secondary,Yes,Professional,2,No,99000,23.4,Unmarried,1,35,2.916666667,Established,Moderate,43.5,0,0,16,International plan,1,"Video streaming, Mobile security",2,No devices,0,"Virtual assistant service, Cloud backup",2
9191-DQPZIS-5DB,Female,Southwest,Large,25 to 34,Completed High School,No,Service,4,No,22000,1.2,Unmarried,1,22,1.833333333,Emerging,Moderate,25.2,0,0,24,International plan,1,No subscriptions,0,"Home computer, Gaming console",2,No devices,0
9804-JHFSPO-C87,Male,West Coast,Mega-City,55 to 64,Completed High School,Yes,Crafts,29,No,242000,8.7,Married,4,61,5.083333333,Veteran,Moderate,40.35,0,0,24,International plan,1,"Video streaming, Financial News streaming",2,No devices,0,Cloud backup,1
6208-WAHHPB-HU3,Male,Southeast,Medium,45 to 54,Post Secondary,Yes,Sales,6,No,52000,9.5,Married,2,72,6,Veteran,High,106.35,0,42,22,"International plan, Wireless data plan, Family plan",3,"Video streaming, Financial News streaming, Mobile security",3,"Home computer, Smart device, Gaming console",3,"Cloud storage, IoT device support, Virtual assistant service, Cloud backup",4
1251-ETTBBE-0L5,Female,Northeast,Medium,25 to 34,Post Secondary,Yes,Crafts,10,No,34000,7.2,Married,4,44,3.666666667,Loyal,Moderate,45.15,33,0,25,"International plan, Family plan, Home internet plan",3,Equipment,1,"Home computer, Smart device, Gaming console",3,No devices,0
0023-SFNINN-16J,Female,Midwest,Medium,65 to 74,Post Secondary,No,Crafts,12,Yes,9000,11.3,Unmarried,1,63,5.25,Veteran,Moderate,70.2,0,0,0,"International plan, Family plan, Home internet plan",3,Financial News streaming,1,Home computer,1,No devices,0
1741-EANZOT-X04,Male,West Coast,Large,45 to 54,Post Secondary,Yes,Professional,7,No,64000,10.5,Married,2,13,1.083333333,Newcomer,Moderate,27.75,0,26.85,19,"International plan, Wireless data plan, Home internet plan",3,"Video streaming, Smart home monitoring, Mobile security",3,"Home computer, Smart device, Gaming console, Smart home device",4,"Cloud storage, IoT device support, Virtual assistant service, Cloud backup",4
2217-JCITJW-7OS,Female,Southwest,Large,18 to 24,Post Secondary,Yes,Sales,0,No,24000,2.9,Married,5,22,1.833333333,Emerging,Moderate,14.55,32.3,0,19,"Family plan, Home internet plan",2,"Equipment, Financial News streaming",2,"Home computer, Smart device, Gaming console",3,"Cloud storage, IoT device support",2
6766-BKWNTC-8QL,Male,Southwest,Medium,65 to 74,Some High School,No,Service,30,Yes,11000,13.3,Married,2,23,1.916666667,Emerging,Moderate,50.4,0,0,18,No plans,0,"Video streaming, Financial News streaming",2,Smart home device,1,Cloud backup,1
3602-CKGPOM-GLT,Male,Northeast,Medium,55 to 64,Post Secondary,No,Agriculture,28,No,70000,9.6,Unmarried,1,69,5.75,Veteran,Moderate,49.8,52,48,20,"International plan, Wireless data plan, Family plan, Home internet plan",4,"Equipment, Video streaming, Smart home monitoring, Financial News streaming, Mobile security",5,"Home computer, Gaming console, Smart home device",3,"Cloud storage, IoT device support, Virtual assistant service, Cloud backup",4
5565-CAGENH-J1W,Female,Midwest,Large,35 to 44,Some High School,No,Sales,3,No,49000,9.1,Married,2,69,5.75,Veteran,Moderate,49.35,0,0,15,International plan,1,"Video streaming, Mobile security",2,No devices,0,"Virtual assistant service, Cloud backup",2
7553-HAWCLM-JVG,Male,Southeast,Large,25 to 34,Some High School,Yes,Sales,1,No,24000,9.9,Married,5,18,1.5,Emerging,Moderate,33.9,26.2,0,17,"Family plan, Home internet plan",2,Equipment,1,"Home computer, Gaming console",2,No devices,0
1890-WDOXSL-5H1,Male,Southeast,Large,18 to 24,Some High School,No,Labor,3,No,19000,3,Married,4,24,2,Emerging,Moderate,11.25,0,0,22,International plan,1,"Video streaming, Mobile security",2,No devices,0,Cloud backup,1
3532-JLPJBS-69C,Female,Midwest,Medium,45 to 54,Completed High School,Yes,Agriculture,19,No,68000,8.8,Unmarried,1,57,4.75,Loyal,Moderate,72.15,0,0,16,"International plan, Family plan, Home internet plan",3,"Financial News streaming, Mobile security",2,"Home computer, Smart device",2,No devices,0
4562-VVBIHP-KNV,Female,Midwest,Mega-City,Over 75,No High School,Yes,Service,46,Yes,48000,13.8,Unmarried,1,72,6,Veteran,Moderate,87.6,0,0,31,"International plan, Family plan",2,"Video streaming, Financial News streaming",2,No devices,0,No devices,0
2419-ICGRYJ-RB5,Male,Southeast,Small,25 to 34,Post Secondary,No,Professional,0,No,49000,1.4,Unmarried,4,6,0.5,Newcomer,Moderate,8.1,27.2,0,31,"Family plan, Home internet plan",2,Equipment,1,"Home computer, Smart device",2,Cloud storage,1
9562-VQOTDG-UNT,Female,Northeast,Small,45 to 54,Post Secondary,No,Service,11,No,41000,7.3,Unmarried,1,26,2.166666667,Established,Moderate,16.8,0,0,25,Home internet plan,1,Financial News streaming,1,"Home computer, Smart device, Gaming console",3,Cloud storage,1
7394-YZKDOV-NQB,Female,Southeast,Extra Large,55 to 64,Post Secondary,No,Sales,5,No,28000,12.6,Married,2,49,4.083333333,Loyal,Moderate,65.25,0,0,15,International plan,1,No subscriptions,0,No devices,0,No devices,0
4500-JRIATB-YGQ,Female,Midwest,Mega-City,25 to 34,Post Secondary,No,Professional,3,No,47000,5,Unmarried,1,1,0.083333333,Newcomer,Low,9.9,31.1,0,11,Home internet plan,1,"Equipment, Video streaming, Mobile security",3,"Home computer, Smart device, Gaming console",3,Virtual assistant service,1
4762-CPVKNE-QZ0,Female,Northeast,Extra Large,25 to 34,Post Secondary,Yes,Sales,3,No,37000,15.5,Unmarried,1,11,0.916666667,Newcomer,Moderate,10.95,0,31.8,21,"International plan, Wireless data plan",2,"Video streaming, Mobile security",2,"Home computer, Gaming console",2,"IoT device support, Virtual assistant service, Cloud backup",3
0246-BDEUXK-1RM,Female,Midwest,Mega-City,18 to 24,Post Secondary,No,Labor,0,No,20000,23.7,Unmarried,4,45,3.75,Loyal,Moderate,51.6,0,0,18,"International plan, Family plan, Home internet plan",3,"Video streaming, Financial News streaming, Mobile security",3,"Home computer, Smart device, Gaming console",3,Virtual assistant service,1
8604-HXWQZU-3LR,Female,Northeast,Small,18 to 24,Post Secondary,No,Sales,0,No,14000,14.7,Unmarried,1,7,0.583333333,Newcomer,Low,9.45,24.5,0,16,"International plan, Home internet plan",2,"Equipment, Mobile security",2,"Home computer, Smart device, Gaming console",3,"Cloud storage, Cloud backup",2
8844-HHTFSR-0KF,Female,Midwest,Mega-City,35 to 44,Post Secondary,Yes,Service,9,No,73000,5.7,Unmarried,1,52,4.333333333,Loyal,Moderate,48.45,0,0,26,"International plan, Family plan",2,No subscriptions,0,Smart device,1,No devices,0
8085-OABDDL-CQY,Male,Northeast,Small,35 to 44,Post Secondary,Yes,Labor,7,No,43000,7.5,Married,4,64,5.333333333,Veteran,Moderate,39.45,35,0,18,"International plan, Family plan, Home internet plan",3,"Equipment, Video streaming, Financial News streaming",3,"Home computer, Smart device",2,No devices,0
6091-GSCHJX-JVD,Male,Southeast,Extra Large,45 to 54,Completed High School,Yes,Sales,2,No,19000,3.5,Unmarried,1,66,5.5,Veteran,Moderate,54.75,0,0,22,International plan,1,"Video streaming, Financial News streaming, Mobile security",3,No devices,0,"Virtual assistant service, Cloud backup",2
2053-PEHZPB-NTD,Female,Southwest,Small,25 to 34,Post Secondary,Yes,Sales,1,No,34000,14.2,Unmarried,1,8,0.666666667,Newcomer,Moderate,13.65,0,0,27,"International plan, Home internet plan",2,Video streaming,1,"Home computer, Smart device, Gaming console",3,Virtual assistant service,1
0835-KVUHBP-8LE,Female,West Coast,Small,25 to 34,Post Secondary,Yes,Sales,0,No,36000,7.8,Unmarried,1,4,0.333333333,Newcomer,Moderate,14.7,0,25.95,16,"Wireless data plan, Home internet plan",2,Mobile security,1,"Home computer, Smart device",2,"Virtual assistant service, Cloud backup",2
3842-DLIYAD-6X6,Male,Southeast,Medium,35 to 44,Post Secondary,Yes,Sales,2,No,119000,4.6,Married,4,62,5.166666667,Veteran,High,65.4,46.9,46.1,20,"International plan, Wireless data plan, Family plan, Home internet plan",4,"Equipment, Financial News streaming",2,"Home computer, Gaming console",2,"Cloud storage, IoT device support, Cloud backup",3
8757-CIJMDF-6TD,Male,Southeast,Extra Large,35 to 44,Post Secondary,Yes,Professional,3,No,98000,3.6,Married,4,13,1.083333333,Newcomer,Moderate,18.45,46.7,38,16,"International plan, Wireless data plan, Home internet plan",3,"Equipment, Video streaming, Smart home monitoring, Financial News streaming, Mobile security",5,"Home computer, Smart device, Gaming console, Smart home device",4,"Cloud storage, IoT device support, Virtual assistant service, Cloud backup",4
5911-WLWIBS-D1N,Male,Midwest,Mega-City,55 to 64,Completed High School,Yes,Labor,23,No,62000,13.7,Married,2,52,4.333333333,Loyal,Moderate,45.9,0,0,18,International plan,1,No subscriptions,0,No devices,0,Virtual assistant service,1
3666-AFMVQU-9H7,Male,West Coast,Medium,18 to 24,Post Secondary,No,Sales,0,No,21000,9.2,Unmarried,1,27,2.25,Established,Moderate,23.7,46.2,38.2,17,"Wireless data plan, Family plan, Home internet plan",3,"Equipment, Financial News streaming, Mobile security",3,"Home computer, Smart device, Gaming console",3,"Cloud storage, IoT device support, Virtual assistant service",3
5162-WGZNXL-X93,Female,West Coast,Medium,45 to 54,Post Secondary,No,Sales,4,No,32000,8,Married,2,33,2.75,Established,Moderate,39.3,23.35,0,19,"International plan, Family plan, Home internet plan",3,Equipment,1,"Home computer, Gaming console",2,No devices,0
7415-IIKLBO-8VO,Male,Southeast,Extra Large,65 to 74,Post Secondary,Yes,Sales,5,Yes,35000,3.2,Married,2,71,5.916666667,Veteran,High,72.15,94.1,186.25,28,"International plan, Wireless data plan, Family plan, Home internet plan",4,"Equipment, Video streaming, Smart home monitoring, Financial News streaming, Mobile security",5,"Home computer, Smart device, Gaming console, Smart home device",4,"Cloud storage, IoT device support, Virtual assistant service, Cloud backup",4
9674-LSLCQN-NU6,Female,Midwest,Small,45 to 54,Post Secondary,Yes,Service,11,No,51000,3.3,Married,3,55,4.583333333,Loyal,Moderate,24.45,0,0,18,"International plan, Family plan, Home internet plan",3,"Video streaming, Financial News streaming, Mobile security",3,"Home computer, Smart device, Gaming console, Smart home device",4,"Cloud storage, IoT device support, Virtual assistant service, Cloud backup",4
9622-LXMOAF-E9C,Female,Southeast,Medium,35 to 44,Some High School,Yes,Labor,14,No,62000,11.1,Married,2,56,4.666666667,Loyal,Moderate,24.6,0,0,19,"International plan, Family plan",2,No subscriptions,0,Smart device,1,No devices,0
2119-XXXFSK-KO6,Female,Southeast,Large,55 to 64,Post Secondary,No,Sales,3,No,69000,18.5,Unmarried,1,41,3.416666667,Established,Moderate,20.7,36.8,32.6,22,"International plan, Wireless data plan, Family plan, Home internet plan",4,"Equipment, Video streaming, Financial News streaming",3,"Home computer, Gaming console",2,"Cloud storage, IoT device support, Virtual assistant service, Cloud backup",4
2435-RABMIV-T9Y,Female,West Coast,Mega-City,18 to 24,Post Secondary,Yes,Professional,0,No,25000,10.2,Unmarried,1,22,1.833333333,Emerging,Moderate,20.1,0,0,17,"Family plan, Home internet plan",2,Video streaming,1,"Home computer, Smart device, Gaming console",3,No devices,0
1345-ENBSLG-BJK,Male,Southeast,Medium,25 to 34,Post Secondary,No,Crafts,8,No,29000,14,Unmarried,1,28,2.333333333,Established,Moderate,15,0,0,18,Home internet plan,1,No subscriptions,0,"Home computer, Smart device",2,Cloud backup,1
0934-PMNAUP-18N,Female,Midwest,Extra Large,18 to 24,No High School,Yes,Service,2,No,24000,5.2,Married,2,25,2.083333333,Established,Moderate,17.4,0,0,15,International plan,1,"Video streaming, Financial News streaming, Mobile security",3,No devices,0,"Virtual assistant service, Cloud backup",2
2974-AZXCIW-1XY,Female,Southwest,Extra Large,25 to 34,Post Secondary,Yes,Sales,1,No,43000,12,Unmarried,2,36,3,Established,Moderate,52.35,0,0,14,"Family plan, Home internet plan",2,"Financial News streaming, Mobile security",2,Home computer,1,"Cloud storage, Virtual assistant service",2
1655-NMUTVQ-YFE,Female,Southwest,Extra Large,45 to 54,Post Secondary,Yes,Professional,9,No,80000,13.3,Married,4,14,1.166666667,Newcomer,Moderate,16.8,40.4,31.95,24,"International plan, Wireless data plan, Family plan, Home internet plan",4,"Equipment, Video streaming, Smart home monitoring, Mobile security",4,"Home computer, Smart device, Gaming console, Smart home device",4,"Cloud storage, Cloud backup",2
5661-YFIDQE-IP0,Female,Southeast,Large,45 to 54,Post Secondary,No,Service,12,No,65000,17.3,Unmarried,1,7,0.583333333,Newcomer,Low,9.9,0,0,15,No plans,0,Mobile security,1,Smart device,1,Cloud backup,1
4254-GIHFGQ-694,Female,Midwest,Small,35 to 44,Some High School,No,Sales,4,No,43000,11.3,Married,2,6,0.5,Newcomer,Low,13.2,0,0,17,No plans,0,No subscriptions,0,No devices,0,No devices,0
1573-KAASUO-TZL,Male,Northeast,Small,45 to 54,Some High School,Yes,Sales,7,No,32000,4.8,Unmarried,1,34,2.833333333,Established,Moderate,21.9,34.15,0,12,"International plan, Family plan, Home internet plan",3,"Equipment, Video streaming, Mobile security",3,"Home computer, Smart device, Smart home device",3,"Cloud storage, Virtual assistant service, Cloud backup",3
2848-MXOAZP-3O7,Female,Northeast,Small,35 to 44,Post Secondary,Yes,Professional,11,No,60000,6.9,Married,5,14,1.166666667,Newcomer,Moderate,7.95,0,0,19,Family plan,1,Video streaming,1,"Home computer, Smart device",2,Cloud backup,1
3825-PDZIDA-USF,Female,Midwest,Small,65 to 74,Some High School,Yes,Sales,13,No,87000,5.1,Married,2,57,4.75,Loyal,Moderate,50.55,0,0,23,"International plan, Family plan",2,"Video streaming, Financial News streaming",2,Smart device,1,"Virtual assistant service, Cloud backup",2
