Customer ID,Gender,Region,Town size,Age Groups,Education Level,Home ownership,Job category,Employment length,Retired,Annual Household income,Debt to income ratio,Marital status,Household size,Telecom provider tenure (in months),Telecom provider tenure (in years),Customer Tenure,Voice service usage,Voice Service Groups,Equipment monthly usage,Monthly data usage,Data Usage Groups,Streaming hours,Streaming Groups,Plans,Number of Plans,Subscriptions,Number of subscriptions,Devices,Number of devices,Services,Number of services,CARTsegments,kmeans_segment,Customer Activity
9976-YGHFSH-GYQ,Female,Southwest,Extra Large,35 to 44,Post Secondary,No,Sales,5,No,58000,7.7,Unmarried,1,1,0.083333333,Newcomer,2.7,Low,0,14.55,Low,17,Low,Wireless data plan,1,Mobile security,1,"Home computer, Smart device, Gaming console",3,Virtual assistant service,1,1,4,Low
8951-XCUNDQ-GSX,Female,Southeast,Small,65 to 74,Post Secondary,Yes,Sales,19,No,109000,4.6,Unmarried,2,33,2.75,Established,20.7,Low,29.15,0,None,28,Moderate,Home internet plan,1,"Equipment, Mobile security",2,"Home computer, Smart device",2,Virtual assistant service,1,3,4,Low
9197-GCTAAU-00Z,Male,Southeast,Large,45 to 54,Post Secondary,No,Service,10,No,48000,6.9,Married,3,35,2.916666667,Established,28.5,Moderate,0,0,None,27,Moderate,International plan,1,No subscriptions,0,"Home computer, Smart device",2,No devices,0,5,4,Moderate
9587-OELKTA-OVY,Male,Southwest,Medium,55 to 64,Post Secondary,No,Professional,13,No,76000,7.2,Unmarried,1,34,2.833333333,Established,17.85,Low,0,0,None,24,Moderate,"International plan, Family plan",2,"Video streaming, Financial News streaming, Mobile security",3,Gaming console,1,"Virtual assistant service, Cloud backup",2,3,2,Low
7245-IQSJWH-NNJ,Female,Northeast,Small,Over 75,Post Secondary,Yes,Labor,29,Yes,22000,6,Married,2,66,5.5,Veteran,107.85,High,0,0,None,18,Moderate,"International plan, Family plan, Home internet plan",3,"Financial News streaming, Mobile security",2,Home computer,1,"Cloud storage, IoT device support, Cloud backup",3,8,2,Moderate
6644-LTNAQB-HD3,Male,Southeast,Small,35 to 44,Post Secondary,No,Labor,10,No,35000,8.7,Unmarried,1,2,0.166666667,Newcomer,25.65,Low,0,0,None,20,Moderate,Home internet plan,1,"Video streaming, Mobile security",2,Home computer,1,"Virtual assistant service, Cloud backup",2,3,1,Low
4683-VRQLDK-SUP,Female,West Coast,Mega-City,45 to 54,Some High School,Yes,Service,15,No,77000,7.6,Unmarried,1,63,5.25,Veteran,60.45,High,0,0,None,19,Moderate,"International plan, Family plan",2,"Video streaming, Financial News streaming, Mobile security",3,"Home computer, Gaming console",2,"Virtual assistant service, Cloud backup",2,7,2,Moderate
7018-TGIZIP-DH5,Female,Southwest,Medium,25 to 34,Post Secondary,No,Sales,0,No,23000,5.4,Married,6,32,2.666666667,Established,22.8,Low,31.5,0,None,19,Moderate,"Family plan, Home internet plan",2,"Equipment, Financial News streaming",2,"Home computer, Smart device, Gaming console, Smart home device",4,Cloud storage,1,3,4,Low
9357-CBFHCN-N3K,Female,West Coast,Mega-City,25 to 34,Post Secondary,Yes,Sales,0,No,107000,3.6,Unmarried,1,10,0.833333333,Newcomer,8.25,Low,0,0,None,25,Moderate,No plans,0,No subscriptions,0,Gaming console,1,No devices,0,1,1,Low
1636-AYARLK-IZN,Female,Southwest,Extra Large,25 to 34,Post Secondary,Yes,Professional,1,No,56000,16.1,Unmarried,1,22,1.833333333,Emerging,12.9,Low,0,0,None,19,Moderate,No plans,0,No subscriptions,0,"Home computer, Smart device, Gaming console",3,Cloud backup,1,1,4,Low
1813-DTHSFS-0BT,Male,Northeast,Large,Over 75,Some High School,No,Labor,40,Yes,23000,9.3,Married,2,49,4.083333333,Loyal,36.45,Moderate,0,0,None,25,Moderate,International plan,1,No subscriptions,0,No devices,0,No devices,0,5,1,Moderate
1138-TBQGGU-FHM,Female,Northeast,Mega-City,65 to 74,Post Secondary,Yes,Service,16,No,64000,6,Married,2,72,6,Veteran,132.45,High,0,0,None,22,Moderate,"International plan, Family plan, Home internet plan",3,"Video streaming, Financial News streaming, Mobile security",3,"Home computer, Gaming console, Smart home device",3,"Cloud storage, IoT device support, Virtual assistant service, Cloud backup",4,8,5,Moderate
1159-OQCZSH-PRW,Male,Southeast,Large,65 to 74,Post Secondary,No,Sales,8,No,89000,4.3,Unmarried,1,5,0.416666667,Newcomer,16.95,Low,0,0,None,19,Moderate,No plans,0,No subscriptions,0,No devices,0,No devices,0,2,1,Low
8671-YOYDNI-GOD,Male,Southwest,Large,18 to 24,Post Secondary,Yes,Crafts,0,No,60000,13.5,Married,2,14,1.166666667,Newcomer,25.05,Low,0,0,None,25,Moderate,International plan,1,"Video streaming, Financial News streaming, Mobile security",3,"Gaming console, Smart home device",2,"Virtual assistant service, Cloud backup",2,3,4,Low
7067-JPCCIH-NMD,Female,Southeast,Medium,45 to 54,No High School,No,Service,12,No,44000,8.2,Married,2,24,2,Emerging,23.7,Low,0,0,None,15,Low,International plan,1,Mobile security,1,No devices,0,"Virtual assistant service, Cloud backup",2,3,1,Low
1987-BENLKO-AF6,Male,Southwest,Extra Large,35 to 44,Post Secondary,No,Professional,12,No,63000,2.6,Unmarried,4,36,3,Established,39.15,Moderate,32.75,0,None,15,Low,"International plan, Home internet plan",2,"Equipment, Financial News streaming",2,"Home computer, Gaming console",2,No devices,0,5,4,Low
8494-RXQCFW-OWC,Male,Southeast,Extra Large,45 to 54,Post Secondary,Yes,Professional,11,No,150000,11.1,Unmarried,2,24,2,Emerging,39.9,Moderate,30.55,0,None,16,Low,"Family plan, Home internet plan",2,"Equipment, Financial News streaming",2,Home computer,1,No devices,0,5,4,Low
1251-AVSPOX-JQQ,Male,West Coast,Mega-City,65 to 74,Post Secondary,Yes,Sales,9,No,13000,13.8,Married,2,46,3.833333333,Loyal,25.65,Low,59.05,34.85,Moderate,31,High,"International plan, Wireless data plan, Family plan, Home internet plan",4,"Equipment, Video streaming, Financial News streaming, Mobile security",4,"Home computer, Smart device, Smart home device",3,"Cloud storage, IoT device support, Virtual assistant service, Cloud backup",4,3,6,Moderate
1167-QQWVVB-6PL,Male,Southeast,Large,35 to 44,Post Secondary,No,Labor,15,No,51000,3.6,Unmarried,2,69,5.75,Veteran,95.1,High,47.8,0,None,18,Moderate,"International plan, Family plan, Home internet plan",3,"Equipment, Financial News streaming, Mobile security",3,"Home computer, Smart device",2,"Virtual assistant service, Cloud backup",2,8,2,Moderate
4680-FBVXJX-J6D,Female,Southwest,Small,18 to 24,Post Secondary,No,Sales,0,No,39000,27.9,Married,4,25,2.083333333,Established,42.15,Moderate,41.35,48,Moderate,21,Moderate,"International plan, Wireless data plan, Family plan, Home internet plan",4,"Equipment, Video streaming, Smart home monitoring, Mobile security",4,"Home computer, Smart device, Smart home device",3,"Cloud storage, IoT device support, Virtual assistant service, Cloud backup",4,5,6,Moderate
2743-GECIYJ-E92,Female,Southwest,Large,55 to 64,Post Secondary,No,Service,16,Yes,31000,4.3,Unmarried,1,52,4.333333333,Loyal,35.85,Moderate,0,0,None,14,Low,International plan,1,"Video streaming, Mobile security",2,No devices,0,"Virtual assistant service, Cloud backup",2,5,2,Low
8011-IQJATY-42A,Male,West Coast,Mega-City,18 to 24,Completed High School,Yes,Sales,0,No,13000,5.2,Unmarried,2,27,2.25,Established,15,Low,0,0,None,26,Moderate,No plans,0,"Video streaming, Financial News streaming, Mobile security",3,No devices,0,"Virtual assistant service, Cloud backup",2,2,1,Low
6103-QUWYSH-L52,Male,Southeast,Medium,55 to 64,Post Secondary,No,Crafts,19,No,146000,21.1,Unmarried,1,59,4.916666667,Loyal,49.65,Moderate,38.4,32.8,Moderate,17,Low,"International plan, Wireless data plan, Family plan, Home internet plan",4,"Equipment, Video streaming, Financial News streaming, Mobile security",4,Home computer,1,"Cloud storage, IoT device support, Virtual assistant service, Cloud backup",4,6,6,Moderate
3622-JHDLVP-V1E,Female,Northeast,,45 to 54,Post Secondary,Yes,Service,12,No,121000,6.5,Unmarried,1,17,1.416666667,Emerging,13.95,Low,55.8,68.6,High,15,Low,"International plan, Wireless data plan, Family plan, Home internet plan",4,"Equipment, Video streaming, Smart home monitoring, Mobile security",4,"Home computer, Smart device, Gaming console, Smart home device",4,"Cloud storage, IoT device support, Virtual assistant service, Cloud backup",4,1,6,Moderate
4126-XKUKFQ-F2P,Female,West Coast,Small,45 to 54,Post Secondary,Yes,Professional,3,No,31000,14.9,Married,2,54,4.5,Loyal,47.55,Moderate,27.8,0,None,18,Moderate,"International plan, Family plan",2,Equipment,1,Home computer,1,No devices,0,6,2,Moderate
2941-ZKRIUU-4G1,Female,West Coast,Mega-City,25 to 34,Post Secondary,No,Labor,2,No,44000,8.5,Married,5,11,0.916666667,Newcomer,22.8,Low,31.4,0,None,25,Moderate,Home internet plan,1,"Equipment, Video streaming",2,"Home computer, Smart device",2,Cloud storage,1,3,4,Low
9426-VSZIPN-YAH,Female,Midwest,Small,Over 75,Post Secondary,No,Crafts,27,Yes,10000,12.1,Married,2,70,5.833333333,Veteran,47.7,Moderate,0,0,None,16,Low,"International plan, Family plan",2,Financial News streaming,1,No devices,0,No devices,0,6,2,Low
9029-DRMTGS-4IS,Female,Northeast,Small,25 to 34,Post Secondary,Yes,Sales,1,No,27000,20.6,Unmarried,3,7,0.583333333,Newcomer,11.55,Low,0,0,None,18,Moderate,No plans,0,No subscriptions,0,"Smart device, Gaming console",2,No devices,0,1,1,Low
6997-CRENDL-LN4,Female,Southeast,Large,65 to 74,Post Secondary,Yes,Service,14,No,34000,10,Unmarried,3,62,5.166666667,Veteran,25.35,Low,0,0,None,26,Moderate,"International plan, Family plan",2,Video streaming,1,"Home computer, Smart device, Gaming console",3,"IoT device support, Cloud backup",2,3,2,Low
8621-DROOEF-9Q9,Female,Southwest,Medium,35 to 44,Post Secondary,Yes,Professional,5,No,92000,5.1,Married,2,36,3,Established,44.55,Moderate,32.3,0,None,16,Low,Family plan,1,"Equipment, Video streaming, Financial News streaming, Mobile security",4,"Smart device, Gaming console",2,Cloud backup,1,6,2,Low
6133-XTQTRF-L11,Male,Southwest,Medium,18 to 24,Post Secondary,Yes,Sales,1,No,25000,2.4,Unmarried,1,16,1.333333333,Emerging,8.1,Low,0,0,None,25,Moderate,International plan,1,No subscriptions,0,"Home computer, Smart device, Gaming console",3,No devices,0,1,4,Low
2607-JYHQAJ-PXS,Male,West Coast,Large,35 to 44,Some High School,Yes,Service,10,No,38000,9.7,Married,3,64,5.333333333,Veteran,44.4,Moderate,0,0,None,24,Moderate,International plan,1,"Video streaming, Financial News streaming",2,No devices,0,Cloud backup,1,6,2,Moderate
7708-JKGOBB-U97,Male,Midwest,Medium,65 to 74,Post Secondary,Yes,Crafts,36,No,95000,10.8,Unmarried,1,68,5.666666667,Veteran,72.9,High,0,0,None,21,Moderate,International plan,1,No subscriptions,0,No devices,0,No devices,0,7,2,Moderate
9280-NOVHLN-U6S,Female,West Coast,Extra Large,35 to 44,Post Secondary,Yes,Agriculture,7,No,63000,8.4,Married,8,14,1.166666667,Newcomer,28.5,Moderate,39.35,24.8,Low,19,Moderate,"International plan, Wireless data plan, Home internet plan",3,"Equipment, Video streaming, Smart home monitoring, Mobile security",4,"Home computer, Smart device, Gaming console, Smart home device",4,"Cloud storage, IoT device support, Virtual assistant service, Cloud backup",4,5,3,Moderate
3273-MMDMDO-Y7P,Male,Southwest,Small,55 to 64,Some High School,Yes,Sales,5,No,32000,1.3,Unmarried,1,63,5.25,Veteran,68.25,High,0,0,None,24,Moderate,"International plan, Family plan",2,"Smart home monitoring, Mobile security",2,"Gaming console, Smart home device",2,Virtual assistant service,1,7,2,Moderate
5812-QQLGQA-42V,Female,Northeast,Large,18 to 24,Post Secondary,No,Sales,0,No,13000,23.3,Unmarried,1,14,1.166666667,Newcomer,9.9,Low,0,25.55,Moderate,19,Moderate,"International plan, Wireless data plan",2,"Video streaming, Smart home monitoring, Mobile security",3,"Home computer, Smart home device",2,"Cloud storage, IoT device support, Virtual assistant service, Cloud backup",4,1,3,Moderate
6578-HPNLCY-52E,Male,Southwest,Extra Large,25 to 34,Post Secondary,No,Service,7,No,65000,5.1,Married,3,45,3.75,Loyal,18,Low,0,0,None,29,Moderate,"International plan, Family plan",2,"Video streaming, Financial News streaming, Mobile security",3,Smart device,1,"Virtual assistant service, Cloud backup",2,3,2,Low
1913-ZMUQDP-1UP,Male,Midwest,Small,45 to 54,Post Secondary,Yes,Professional,16,No,148000,11.3,Married,2,59,4.916666667,Loyal,48,Moderate,43,0,None,27,Moderate,"International plan, Family plan, Home internet plan",3,"Equipment, Financial News streaming",2,"Home computer, Smart device, Gaming console",3,No devices,0,6,2,Moderate
3093-CQGCXA-9YA,Female,Southeast,Large,25 to 34,Post Secondary,Yes,Crafts,0,No,44000,6,Married,3,35,2.916666667,Established,33.6,Moderate,27.9,0,None,18,Moderate,"Family plan, Home internet plan",2,"Equipment, Financial News streaming",2,"Home computer, Smart device, Gaming console",3,Cloud storage,1,5,4,Moderate
3622-HJXJEO-XEA,Female,Southwest,Extra Large,25 to 34,Post Secondary,No,Service,1,No,17000,6.5,Unmarried,2,2,0.166666667,Newcomer,6.9,Low,0,0,None,21,Moderate,No plans,0,No subscriptions,0,No devices,0,No devices,0,1,1,Low
0172-KSFHLM-V76,Male,Midwest,Medium,45 to 54,Some High School,No,Sales,9,No,72000,21.1,Unmarried,1,34,2.833333333,Established,26.55,Low,0,0,None,17,Low,International plan,1,"Video streaming, Financial News streaming, Mobile security",3,Smart device,1,"Virtual assistant service, Cloud backup",2,3,1,Low
2616-IMMTNU-V14,Female,Southeast,Medium,65 to 74,Post Secondary,No,Service,14,No,53000,4.6,Married,2,50,4.166666667,Loyal,57,High,48.8,48.95,Moderate,21,Moderate,"International plan, Wireless data plan, Family plan, Home internet plan",4,"Equipment, Video streaming, Financial News streaming, Mobile security",4,"Home computer, Smart device, Gaming console",3,"Cloud storage, IoT device support, Virtual assistant service, Cloud backup",4,7,6,Moderate
0952-HEDWUH-ACG,Female,Midwest,Medium,45 to 54,Post Secondary,Yes,Labor,19,No,186000,12.4,Married,2,57,4.75,Loyal,57.6,High,0,0,None,25,Moderate,International plan,1,"Video streaming, Mobile security",2,No devices,0,"Cloud storage, Virtual assistant service, Cloud backup",3,7,2,Moderate
0942-MCKTFY-FJQ,Female,Midwest,Extra Large,55 to 64,Some High School,Yes,Sales,3,No,29000,18.3,Unmarried,1,44,3.666666667,Loyal,44.1,Moderate,0,0,None,19,Moderate,"International plan, Family plan",2,No subscriptions,0,No devices,0,No devices,0,6,1,Moderate
1431-EMZZWE-21V,Male,West Coast,Mega-City,35 to 44,Post Secondary,Yes,Sales,6,No,93000,18.9,Unmarried,5,26,2.166666667,Established,29.4,Moderate,64.45,77.45,High,19,Moderate,"International plan, Wireless data plan, Family plan, Home internet plan",4,"Equipment, Video streaming, Smart home monitoring, Mobile security",4,"Home computer, Smart device, Gaming console, Smart home device",4,"Cloud storage, IoT device support, Virtual assistant service, Cloud backup",4,5,6,Moderate
9807-RQWCQK-E9X,Female,Southeast,Extra Large,35 to 44,Post Secondary,No,Sales,3,No,60000,1.1,Unmarried,2,13,1.083333333,Newcomer,14.7,Low,0,0,None,20,Moderate,No plans,0,"Video streaming, Mobile security",2,Home computer,1,Cloud backup,1,2,1,Low
8248-AIYXAY-LML,Male,West Coast,Extra Large,45 to 54,Post Secondary,Yes,Sales,3,No,42000,12.3,Unmarried,1,23,1.916666667,Emerging,14.4,Low,21.35,0,None,21,Moderate,No plans,0,Equipment,1,Gaming console,1,No devices,0,2,1,Low
0144-UFVNEK-87S,Male,West Coast,Medium,35 to 44,Post Secondary,No,Professional,5,No,85000,10.7,Married,4,51,4.25,Loyal,55.8,High,0,0,None,19,Moderate,"International plan, Family plan",2,"Financial News streaming, Mobile security",2,Smart device,1,Virtual assistant service,1,7,2,Moderate
0486-MCTJYA-DRP,Female,Northeast,Small,Over 75,Post Secondary,Yes,Crafts,12,No,49000,3.5,Married,2,32,2.666666667,Established,21.9,Low,0,32.2,Moderate,18,Moderate,"International plan, Wireless data plan, Home internet plan",3,"Video streaming, Mobile security",2,"Home computer, Gaming console, Smart home device",3,"Cloud storage, IoT device support, Virtual assistant service, Cloud backup",4,3,3,Moderate
8648-OEELYD-BUO,Male,Southwest,Large,18 to 24,Post Secondary,Yes,Labor,2,No,26000,10.4,Unmarried,4,15,1.25,Emerging,19.8,Low,31.65,0,None,19,Moderate,"International plan, Family plan, Home internet plan",3,Equipment,1,"Home computer, Smart device, Gaming console",3,No devices,0,3,4,Low
6365-JARJTJ-XO1,Male,Southeast,Small,65 to 74,Completed High School,No,Sales,4,Yes,12000,11.2,Married,2,6,0.5,Newcomer,14.85,Low,0,0,None,22,Moderate,No plans,0,"Video streaming, Mobile security",2,No devices,0,"Virtual assistant service, Cloud backup",2,2,1,Low
8162-PHLLNH-12V,Female,West Coast,Small,65 to 74,Post Secondary,Yes,Labor,31,No,411000,8.3,Married,2,66,5.5,Veteran,120.3,High,42.9,0,None,11,Low,"International plan, Family plan, Home internet plan",3,"Equipment, Financial News streaming",2,"Home computer, Gaming console, Smart home device",3,Cloud backup,1,8,5,Moderate
9655-AVBLHY-HSG,Male,Southeast,Small,65 to 74,Completed High School,Yes,Labor,17,No,80000,36.7,Married,5,72,6,Veteran,172.65,High,0,0,None,17,Low,"International plan, Family plan",2,Financial News streaming,1,Gaming console,1,No devices,0,8,5,Moderate
6764-PDBVGZ-RPT,Female,Midwest,Extra Large,55 to 64,Some High School,Yes,Professional,19,No,136000,3.3,Married,2,72,6,Veteran,117.45,High,0,0,None,21,Moderate,"International plan, Family plan",2,"Financial News streaming, Mobile security",2,Smart home device,1,Virtual assistant service,1,8,5,Moderate
3862-IIHSHN-2R8,Male,Southeast,Small,65 to 74,Post Secondary,Yes,Professional,19,No,91000,8.4,Married,2,54,4.5,Loyal,33.15,Moderate,0,42.65,Moderate,19,Moderate,"International plan, Wireless data plan, Family plan, Home internet plan",4,"Video streaming, Smart home monitoring, Financial News streaming, Mobile security",4,"Home computer, Smart device, Gaming console, Smart home device",4,"Cloud storage, IoT device support, Virtual assistant service, Cloud backup",4,5,6,Moderate
9171-CRNWBE-F9A,Male,Midwest,Small,45 to 54,Post Secondary,No,Professional,4,No,81000,10.4,Married,2,54,4.5,Loyal,45,Moderate,0,0,None,17,Low,"Family plan, Home internet plan",2,"Video streaming, Smart home monitoring, Financial News streaming, Mobile security",4,"Home computer, Smart device, Smart home device",3,"Virtual assistant service, Cloud backup",2,6,2,Low
6437-XQJPHO-LCJ,Female,Southwest,Extra Large,18 to 24,Post Secondary,No,Service,0,No,21000,10.4,Married,3,9,0.75,Newcomer,15,Low,0,0,None,16,Low,No plans,0,No subscriptions,0,"Home computer, Smart device, Gaming console",3,"Cloud storage, Cloud backup",2,2,4,Low
8750-FGAPJF-NZS,Female,Southeast,Extra Large,65 to 74,Post Secondary,No,Professional,19,No,75000,8.6,Unmarried,1,58,4.833333333,Loyal,42.6,Moderate,0,0,None,22,Moderate,"International plan, Family plan, Home internet plan",3,Financial News streaming,1,"Home computer, Gaming console",2,No devices,0,5,2,Moderate
9425-WLRKCC-R71,Female,Midwest,Large,65 to 74,Post Secondary,Yes,Professional,4,No,73000,10.9,Unmarried,3,52,4.333333333,Loyal,39,Moderate,54.6,64.95,High,21,Moderate,"International plan, Wireless data plan, Family plan, Home internet plan",4,"Equipment, Video streaming, Smart home monitoring, Financial News streaming, Mobile security",5,"Home computer, Smart device, Gaming console, Smart home device",4,"Cloud storage, IoT device support, Virtual assistant service, Cloud backup",4,5,6,Moderate
3698-WEUKZD-C2Z,Female,Southwest,Medium,Over 75,Some High School,No,Service,0,Yes,17000,13.7,Unmarried,1,65,5.416666667,Veteran,40.95,Moderate,0,0,None,12,Low,International plan,1,"Video streaming, Financial News streaming, Mobile security",3,No devices,0,No devices,0,5,2,Low
5714-IHLOXZ-QKC,Female,Midwest,Extra Large,45 to 54,Completed High School,Yes,Sales,6,No,41000,26.2,Unmarried,3,1,0.083333333,Newcomer,5.55,Low,0,32.8,Moderate,30,Moderate,"International plan, Wireless data plan, Home internet plan",3,"Video streaming, Mobile security",2,"Home computer, Smart device, Smart home device",3,"Cloud storage, IoT device support, Virtual assistant service, Cloud backup",4,1,3,Moderate
3043-YYQGJM-7LD,Male,West Coast,Mega-City,55 to 64,Post Secondary,No,Sales,3,No,22000,9.4,Unmarried,1,13,1.083333333,Newcomer,13.65,Low,22.6,0,None,23,Moderate,"Family plan, Home internet plan",2,Equipment,1,"Home computer, Smart device, Gaming console",3,No devices,0,1,4,Low
2930-WLVSCZ-OKG,Female,Southeast,Small,35 to 44,Post Secondary,No,Sales,5,No,22000,6.6,Unmarried,1,30,2.5,Established,18.6,Low,34.9,0,None,19,Moderate,"International plan, Family plan, Home internet plan",3,"Equipment, Video streaming, Financial News streaming",3,"Home computer, Smart device, Gaming console",3,"Cloud storage, IoT device support, Virtual assistant service, Cloud backup",4,3,3,Low
9932-HDHLNA-IRD,Male,Southwest,Medium,25 to 34,Post Secondary,Yes,Crafts,8,No,28000,16.6,Unmarried,2,58,4.833333333,Loyal,30.45,Moderate,28.3,0,None,20,Moderate,International plan,1,"Equipment, Mobile security",2,Home computer,1,Virtual assistant service,1,5,2,Moderate
4668-KQZZGF-GQA,Female,Northeast,Mega-City,25 to 34,Post Secondary,No,Labor,6,No,27000,17.6,Married,5,25,2.083333333,Established,33.6,Moderate,0,0,None,28,Moderate,"International plan, Home internet plan",2,"Video streaming, Mobile security",2,Home computer,1,"Virtual assistant service, Cloud backup",2,5,4,Moderate
2800-EJKINA-40U,Male,Southeast,Small,18 to 24,Some High School,No,Professional,1,No,18000,7.5,Unmarried,1,13,1.083333333,Newcomer,20.85,Low,28.1,0,None,26,Moderate,Home internet plan,1,Equipment,1,"Home computer, Smart device, Gaming console",3,No devices,0,3,4,Low
5036-DRSPSS-P3X,Male,Southwest,Mega-City,25 to 34,Post Secondary,No,Crafts,5,No,40000,17.2,Unmarried,3,58,4.833333333,Loyal,118.5,High,0,0,None,34,High,"International plan, Family plan, Home internet plan",3,"Video streaming, Financial News streaming",2,"Home computer, Smart device",2,No devices,0,8,5,High
1762-DLJZNE-ABZ,Female,Southwest,Mega-City,55 to 64,Post Secondary,Yes,Crafts,19,No,102000,7.4,Unmarried,1,52,4.333333333,Loyal,24.15,Low,33.05,0,None,19,Moderate,"Family plan, Home internet plan",2,"Equipment, Financial News streaming, Mobile security",3,"Home computer, Smart device",2,No devices,0,3,2,Low
1726-EJQGMP-OLF,Female,West Coast,Extra Large,35 to 44,Completed High School,Yes,Crafts,13,No,53000,12,Unmarried,3,6,0.5,Newcomer,9.6,Low,0,0,None,24,Moderate,International plan,1,"Video streaming, Mobile security",2,No devices,0,"Virtual assistant service, Cloud backup",2,1,1,Low
2420-OCBBAB-TEF,Male,West Coast,Extra Large,25 to 34,Post Secondary,Yes,Sales,0,No,25000,4.7,Married,4,65,5.416666667,Veteran,69.75,High,0,0,None,23,Moderate,International plan,1,No subscriptions,0,No devices,0,Cloud backup,1,7,2,Moderate
9366-UTJUFF-HMM,Male,Northeast,Medium,25 to 34,No High School,Yes,Professional,4,No,23000,7.5,Unmarried,1,17,1.416666667,Emerging,11.1,Low,0,0,None,19,Moderate,No plans,0,"Video streaming, Mobile security",2,Gaming console,1,Virtual assistant service,1,1,1,Low
5068-FZSTJJ-8HB,Male,West Coast,Mega-City,35 to 44,Post Secondary,No,Professional,4,No,33000,9.4,Unmarried,1,1,0.083333333,Newcomer,9.15,Low,23.75,0,None,16,Low,Home internet plan,1,"Equipment, Video streaming",2,"Home computer, Smart device",2,"IoT device support, Virtual assistant service, Cloud backup",3,1,4,Low
5862-OQXZQL-M8E,Male,Midwest,Mega-City,25 to 34,Post Secondary,No,Service,3,No,68000,3.9,Unmarried,1,22,1.833333333,Emerging,24,Low,0,0,None,25,Moderate,"International plan, Home internet plan",2,"Video streaming, Mobile security",2,Home computer,1,"Virtual assistant service, Cloud backup",2,3,4,Low
7205-JSLZZU-M95,Female,Midwest,Small,25 to 34,Post Secondary,Yes,Sales,1,No,66000,12.2,Unmarried,3,41,3.416666667,Established,31.8,Moderate,0,0,None,21,Moderate,"International plan, Home internet plan",2,No subscriptions,0,"Home computer, Smart device",2,No devices,0,5,4,Moderate
0556-MOOWPK-HFE,Female,Northeast,Small,55 to 64,Post Secondary,Yes,Labor,16,No,49000,14.8,Unmarried,1,71,5.916666667,Veteran,88.95,High,73.9,96.3,High,11,Low,"International plan, Wireless data plan, Family plan, Home internet plan",4,"Equipment, Video streaming, Smart home monitoring, Financial News streaming, Mobile security",5,"Home computer, Smart device, Gaming console, Smart home device",4,"Cloud storage, IoT device support, Virtual assistant service, Cloud backup",4,8,6,Moderate
5125-PEQACJ-RQX,Female,Southeast,Medium,65 to 74,Some High School,No,Professional,7,No,34000,9.1,Unmarried,1,58,4.833333333,Loyal,60.15,High,24.5,0,None,26,Moderate,"International plan, Home internet plan",2,"Equipment, Video streaming, Financial News streaming",3,"Home computer, Gaming console",2,No devices,0,7,2,Moderate
9054-RDSBCN-85W,Male,Southwest,Extra Large,45 to 54,Post Secondary,Yes,Professional,9,No,111000,7.4,Unmarried,1,40,3.333333333,Established,31.65,Moderate,0,0,None,14,Low,No plans,0,Video streaming,1,"Home computer, Gaming console",2,Cloud backup,1,4,1,Low
3957-ABEZXA-PIV,Male,Southeast,Small,55 to 64,Post Secondary,No,Sales,7,No,56000,21.3,Unmarried,4,62,5.166666667,Veteran,69.9,High,0,0,None,11,Low,"International plan, Family plan",2,Mobile security,1,"Home computer, Smart device",2,Virtual assistant service,1,7,2,Moderate
4700-RLHJPE-MUB,Female,Midwest,Extra Large,65 to 74,No High School,No,Sales,7,No,19000,7.8,Unmarried,1,63,5.25,Veteran,36.75,Moderate,0,0,None,24,Moderate,International plan,1,No subscriptions,0,No devices,0,No devices,0,5,2,Moderate
5784-DIWCFC-282,Male,Southwest,Mega-City,55 to 64,Post Secondary,Yes,Labor,32,No,180000,14,Married,3,71,5.916666667,Veteran,94.65,High,0,0,None,16,Low,"International plan, Family plan",2,"Video streaming, Financial News streaming, Mobile security",3,No devices,0,"Virtual assistant service, Cloud backup",2,8,2,Moderate
4076-DWMNBJ-KAL,Male,Northeast,Large,55 to 64,Completed High School,Yes,Service,16,No,64000,7,Married,4,70,5.833333333,Veteran,106.5,High,38.05,0,None,29,Moderate,"International plan, Family plan",2,"Equipment, Financial News streaming",2,"Home computer, Smart device",2,"IoT device support, Virtual assistant service, Cloud backup",3,8,2,Moderate
0845-ZNPTKF-CKD,Male,Southeast,Large,25 to 34,Post Secondary,No,Sales,1,No,20000,11.9,Unmarried,1,2,0.166666667,Newcomer,7.35,Low,0,0,None,19,Moderate,International plan,1,"Video streaming, Mobile security",2,Gaming console,1,"Virtual assistant service, Cloud backup",2,1,1,Low
4527-WNECPJ-7QI,Male,Northeast,Extra Large,55 to 64,Some High School,No,Labor,30,Yes,29000,12.8,Unmarried,1,66,5.5,Veteran,89.4,High,0,0,None,20,Moderate,International plan,1,Financial News streaming,1,No devices,0,Cloud backup,1,8,2,Moderate
9175-XFUAVM-BTO,Female,Northeast,Small,65 to 74,Post Secondary,Yes,Sales,3,No,27000,8.2,Married,3,63,5.25,Veteran,42.45,Moderate,0,0,None,17,Low,"International plan, Family plan, Home internet plan",3,"Video streaming, Mobile security",2,"Home computer, Smart device, Gaming console",3,"Cloud storage, IoT device support, Cloud backup",3,5,2,Low
